Estado_Civil,Pension,Valor
Divorciad@,Yes,72.42
Divorciad@,No,58.83
Viud@,Yes,81.16
Solter@,No,197.58
Solter@,Yes,43.73
Solter@,No,84.03
Divorciad@,No,171.14
Viud@,No,109.90
Solter@,Yes,18.31
Viud@,No,198.63
Solter@,No,97.52
Solter@,Yes,175.40
Solter@,No,199.96
Divorciad@,Yes,80.06
Divorciad@,Yes,127.15
Divorciad@,Yes,70.74
Divorciad@,No,46.38
Viud@,Yes,150.54
Casad@,Yes,94.77
Solter@,Yes,166.96
Casad@,Yes,77.95
Viud@,Yes,194.47
Casad@,No,73.60
Divorciad@,No,42.65
Viud@,Yes,103.17
Casad@,Yes,120.45
Casad@,Yes,142.05
Divorciad@,No,116.54
Solter@,Yes,26.17
Viud@,No,178.27
Divorciad@,No,53.62
Divorciad@,No,199.67
Casad@,No,129.26
Solter@,Yes,52.37
Casad@,No,160.54
Divorciad@,No,103.58
Viud@,No,31.26
Solter@,No,46.02
Viud@,No,0.96
Casad@,No,64.93
Solter@,No,8.59
Viud@,Yes,151.75
Viud@,No,141.58
Casad@,Yes,163.07
Casad@,No,130.59
Casad@,No,66.83
Divorciad@,No,131.91
Solter@,Yes,185.38
Solter@,No,199.86
Casad@,No,129.12
Casad@,No,6.69
Divorciad@,Yes,1.90
Divorciad@,Yes,113.38
Viud@,No,75.58
Divorciad@,Yes,179.86
Solter@,No,61.09
Solter@,No,118.64
Solter@,Yes,14.43
Viud@,Yes,188.32
Casad@,No,158.25
Casad@,No,73.63
Solter@,No,153.70
Solter@,Yes,153.44
Viud@,No,53.60
Casad@,Yes,120.90
Divorciad@,Yes,83.00
Divorciad@,No,182.65
Solter@,No,82.43
Solter@,Yes,28.62
Casad@,No,197.72
Divorciad@,Yes,117.47
Divorciad@,No,184.90
Viud@,No,138.12
Divorciad@,Yes,66.87
Viud@,Yes,34.51
Divorciad@,Yes,19.58
Casad@,Yes,176.09
Casad@,Yes,53.92
Viud@,Yes,157.36
Casad@,No,33.79
Divorciad@,No,155.96
Casad@,No,9.79
Casad@,Yes,51.22
Casad@,No,6.93
Casad@,Yes,4.00
Solter@,Yes,168.10
Solter@,Yes,8.96
Solter@,No,112.21
Casad@,Yes,80.85
Viud@,Yes,75.85
Solter@,No,168.99
Solter@,No,52.80
Viud@,No,198.56
Viud@,Yes,65.25
Solter@,No,119.87
Solter@,No,83.89
Solter@,Yes,160.07
Divorciad@,Yes,125.47
Casad@,Yes,40.06
Casad@,Yes,162.81
