"Estado_Civil","Pension","Valor"
"Divorciad@","Yes",517260
"Viud@","Yes",543480
"Solter@","Yes",431190
"Solter@","Yes",354930
"Solter@","Yes",826200
"Divorciad@","Yes",540180
"Divorciad@","Yes",681450
"Divorciad@","Yes",512220
"Viud@","Yes",751620
"Casad@","Yes",584310
"Solter@","Yes",800880
"Casad@","Yes",533850
"Viud@","Yes",883410
"Viud@","Yes",609510
"Casad@","Yes",661350
"Casad@","Yes",726150
"Solter@","Yes",378510
"Solter@","Yes",457110
"Viud@","Yes",755250
"Casad@","Yes",789210
"Solter@","Yes",856140
"Divorciad@","Yes",305700
"Divorciad@","Yes",640140
"Divorciad@","Yes",839580
"Solter@","Yes",343290
"Viud@","Yes",864960
"Solter@","Yes",760320
"Casad@","Yes",662700
"Divorciad@","Yes",549000
"Solter@","Yes",385860
"Divorciad@","Yes",652410
"Divorciad@","Yes",500610
"Viud@","Yes",403530
"Divorciad@","Yes",358740
"Casad@","Yes",828270
"Casad@","Yes",461760
"Viud@","Yes",772080
"Casad@","Yes",453660
"Casad@","Yes",312000
"Solter@","Yes",804300
"Solter@","Yes",326880
"Casad@","Yes",542550
"Viud@","Yes",527550
"Viud@","Yes",495750
"Solter@","Yes",780210
"Divorciad@","Yes",676410
"Casad@","Yes",420180
"Casad@","Yes",788430
